lambda_val,M_val,mean_percent_serviced,std_percent_serviced,median_percent_serviced,min_percent_serviced,max_percent_serviced,n_runs,sem_percent_serviced
5000.0,10000.0,91.34758079938803,10.65062155557817,95.0,40.0,100.0,249,0.6749557162928624
20000.0,40000.0,91.21007840887358,10.67910380789137,95.0,40.0,100.0,249,0.6767607056929057
40000.0,200000.0,91.20577548288392,10.897130014525747,95.0,40.0,100.0,249,0.6905775551323122
10000.0,20000.0,91.0924650984892,10.989927796029848,95.0,40.0,100.0,249,0.6964583755857143
40000.0,80000.0,91.0057372346529,10.976384313401086,95.0,40.0,100.0,249,0.695600092247874
10000.0,50000.0,90.95945687511953,10.571494522258002,95.0,40.0,100.0,249,0.6699412443041576
20000.0,100000.0,90.8966341556703,11.13123926455503,95.0,40.0,100.0,249,0.7054136260338777
2500.0,5000.0,90.86316472114137,10.845208749861404,94.28571428571428,40.0,100.0,257,0.6765055348115224
20000.0,200000.0,90.82769171925798,11.498425134991239,95.0,40.0,100.0,249,0.7286830850884142
5000.0,25000.0,90.78255880665519,10.954358565790582,94.28571428571428,40.0,100.0,249,0.6942042672082032
40000.0,400000.0,90.76859820233315,11.416962221739432,95.0,40.0,100.0,249,0.72352058272381
2500.0,25000.0,90.71921836463669,11.576428787099795,95.0,40.0,100.0,251,0.730697705827768
5000.0,50000.0,90.50143430866322,11.456814549770328,94.28571428571428,40.0,100.0,249,0.7260461213951136
2500.0,12500.0,90.47786458333333,11.014096885740216,95.0,40.0,100.0,256,0.6883810553587635
10000.0,100000.0,90.26075731497419,11.997790647771193,95.0,40.0,100.0,249,0.760329088620839
