lambda_val,M_val,mean_percent_serviced,std_percent_serviced,median_percent_serviced,min_percent_serviced,max_percent_serviced,n_runs,sem_percent_serviced
20000.0,100000.0,93.25925925925927,1.597322863173909,93.33333333333331,88.88888888888889,95.55555555555556,15,0.41242698983925985
2500.0,25000.0,93.03703703703704,1.2921323902954147,93.33333333333331,91.11111111111111,95.55555555555556,15,0.33362714858062154
2500.0,5000.0,92.81481481481481,1.4466812148261845,93.33333333333331,88.88888888888889,94.44444444444444,15,0.37353148348619514
10000.0,20000.0,92.81481481481481,1.6192550961573349,93.33333333333331,90.0,95.55555555555556,15,0.4180898680452565
20000.0,40000.0,92.74074074074073,1.4466812148261863,93.33333333333331,91.11111111111111,95.55555555555556,15,0.3735314834861956
5000.0,10000.0,92.5925925925926,1.552529180012822,92.22222222222224,91.11111111111111,95.55555555555556,15,0.40086131057938107
10000.0,50000.0,92.51851851851852,1.89990562592439,93.33333333333331,88.88888888888889,95.55555555555556,15,0.4905535232380627
5000.0,50000.0,92.44444444444444,1.9787227990155474,92.22222222222224,90.0,96.66666666666669,15,0.5109040298232094
5000.0,25000.0,92.37037037037038,1.384384229286602,92.22222222222224,90.0,94.44444444444444,15,0.35744647098528
40000.0,400000.0,92.37037037037038,1.77513030381773,92.22222222222224,88.88888888888889,95.55555555555556,15,0.4583366736022787
40000.0,200000.0,92.29629629629629,1.9905715444279304,92.22222222222224,90.0,96.66666666666669,15,0.5139633627335835
2500.0,12500.0,92.22222222222223,2.057377999494556,92.22222222222224,87.77777777777777,95.55555555555556,15,0.5312127152597297
40000.0,80000.0,92.14814814814814,1.7041637290134755,92.22222222222224,88.88888888888889,94.44444444444444,15,0.4400131827786613
10000.0,100000.0,92.07407407407408,1.6192550961573364,92.22222222222224,90.0,94.44444444444444,15,0.4180898680452569
20000.0,200000.0,91.48148148148148,1.5525291800128247,91.11111111111111,88.88888888888889,94.44444444444444,15,0.4008613105793818
