city,run_type,nodes,num_vehicles,num_requests,seed,trial,rtv_graph_build_time,percent_serviced,avg_waiting_time,max_waiting_time,avg_detour_factor,max_detour_factor,vmt,total_run_time,solve_time,qubo_build_time,time_min_cost_prep,time_qubo_gen,time_compress,time_quantum_solve,time_decode,time_vehicle_assignment,time_metrics_calc,time_struct_stats,time_total_quantum_block,ilp_num_vars,ilp_num_constraints,ilp_num_integer_vars,ilp_num_nonzero_coeffs,energy_gap,argmin_preservation,condition_number,real_quantum_hardware,K,infeasible_windows,arrival_violations,mean_slack,min_slack,max_slack,p25_slack,median_slack,p75_slack,base_qubo_vars,base_qubo_couplers,base_qubo_graph_density,base_node_density_avg,base_node_density_max,base_node_density_min,base_degree_avg,base_degree_max,base_degree_min,base_qubo_max_abs,base_qubo_min_nonzero_abs,base_qubo_dynamic_range,comp_qubo_vars,comp_qubo_couplers,comp_qubo_graph_density,comp_node_density_avg,comp_node_density_max,comp_node_density_min,comp_degree_avg,comp_degree_max,comp_degree_min,comp_qubo_max_abs,comp_qubo_min_nonzero_abs,comp_qubo_dynamic_range,qubo_logical_qubits,time_greedy_build_candidates,greedy_edges_total,time_greedy_sort,time_greedy_select,time_greedy_total,greedy_sort_work,greedy_assignments,lambda_val,M_val
32_Phoenix_City,Quantum,15324,5,5,50542,1,0.1311408000037772,100.0,266.1136,1052.7258461538463,1.2787929338235269,1.9062076955911944,1215.777538461539,0.3509723000024678,0.3503817000018898,0.0002231999969808,1.8000006093643606e-05,0.0002051999908871,,0.3503817000018898,1.09999964479357e-05,0.0002072000061161,5.979998968541622e-05,8.850000449456275e-05,0.3509723000024678,,,,,,,,0,,0,5,2841.8,1316.0,4585.0,1850.0,1897.0,4561.0,35,60,0.1008403361344537,0.2016806722689075,0.2352941176470588,0.1176470588235294,6.857142857142857,8.0,4.0,10000.0,2531.324923076923,3.950500352141524,,,,,,,,,,,,,,,,,,,,,2500.0,5000.0
32_Phoenix_City,Quantum,15324,5,5,50542,1,0.1311408000037772,100.0,266.1136,1052.7258461538463,1.2787929338235269,1.9062076955911944,1215.777538461539,0.3461633999977493,0.3457969000010052,0.0001656999957049,1.679999695625156e-05,0.0001488999987486,,0.3457969000010052,7.399998139590025e-06,2.269999822601676e-05,0.0001011999993352,6.839999696239829e-05,0.3461633999977493,,,,,,,,0,,0,5,2841.8,1316.0,4585.0,1850.0,1897.0,4561.0,35,60,0.1008403361344537,0.2016806722689075,0.2352941176470588,0.1176470588235294,6.857142857142857,8.0,4.0,10000.0,2531.324923076923,3.950500352141524,,,,,,,,,,,,,,,,,,,,,2500.0,5000.0
32_Phoenix_City,Quantum,15324,5,5,50542,1,0.1311408000037772,100.0,266.1136,1052.7258461538463,1.2787929338235269,1.9062076955911944,1215.777538461539,0.3467917999951169,0.3464278000028571,0.000159800008987,1.550000160932541e-05,0.0001443000073777,,0.3464278000028571,6.999995093792677e-06,2.6299996534362435e-05,0.0001013000000966,6.86999992467463e-05,0.3467917999951169,,,,,,,,0,,0,5,2841.8,1316.0,4585.0,1850.0,1897.0,4561.0,35,60,0.1008403361344537,0.2016806722689075,0.2352941176470588,0.1176470588235294,6.857142857142857,8.0,4.0,10000.0,2531.324923076923,3.950500352141524,,,,,,,,,,,,,,,,,,,,,2500.0,5000.0
32_Phoenix_City,Quantum,15324,5,5,50542,1,0.1311408000037772,100.0,266.1136,1052.7258461538463,1.2787929338235269,1.9062076955911944,1215.777538461539,0.3476974000077462,0.347333300000173,0.0001613000058569,1.509999856352806e-05,0.0001462000072933,,0.347333300000173,7.099995855242014e-06,2.469999890308827e-05,0.0001024999946821,6.810000922996551e-05,0.3476974000077462,,,,,,,,0,,0,5,2841.8,1316.0,4585.0,1850.0,1897.0,4561.0,35,60,0.1008403361344537,0.2016806722689075,0.2352941176470588,0.1176470588235294,6.857142857142857,8.0,4.0,10000.0,2531.324923076923,3.950500352141524,,,,,,,,,,,,,,,,,,,,,2500.0,5000.0
32_Phoenix_City,Quantum,15324,5,5,50542,1,0.1311408000037772,100.0,266.1136,1052.7258461538463,1.2787929338235269,1.9062076955911944,1215.777538461539,0.3452068000042345,0.3447939000034239,0.000215299995034,2.269999822601676e-05,0.0001925999968079,,0.3447939000034239,7.299997378140688e-06,2.1400002879090607e-05,0.0001005999947665,6.750000466126949e-05,0.3452068000042345,,,,,,,,0,,0,5,2841.8,1316.0,4585.0,1850.0,1897.0,4561.0,35,60,0.1008403361344537,0.2016806722689075,0.2352941176470588,0.1176470588235294,6.857142857142857,8.0,4.0,10000.0,2531.324923076923,3.950500352141524,,,,,,,,,,,,,,,,,,,,,2500.0,5000.0
32_Phoenix_City,Quantum,15324,5,5,50542,1,0.1311408000037772,100.0,266.1136,1052.7258461538463,1.2787929338235269,1.9062076955911944,1215.777538461539,0.3523138000018662,0.3519539999979315,0.0001571000029798,1.4999997802078724e-05,0.0001421000051777,,0.3519539999979315,6.499991286545992e-06,2.250001125503332e-05,0.0001056999899446,6.750000466126949e-05,0.3523138000018662,,,,,,,,0,,0,5,2841.8,1316.0,4585.0,1850.0,1897.0,4561.0,35,60,0.1008403361344537,0.2016806722689075,0.2352941176470588,0.1176470588235294,6.857142857142857,8.0,4.0,25000.0,10031.324923076923,2.49219322389686,,,,,,,,,,,,,,,,,,,,,2500.0,12500.0
32_Phoenix_City,Quantum,15324,5,5,50542,1,0.1311408000037772,100.0,266.1136,1052.7258461538463,1.2787929338235269,1.9062076955911944,1215.777538461539,0.3549013999872841,0.354531400007545,0.0001630000042496,1.5199999324977398e-05,0.0001478000049246,,0.354531400007545,7.50001345295459e-06,2.3599990527145565e-05,0.0001078000059351,6.729998858645558e-05,0.3549013999872841,,,,,,,,0,,0,5,2841.8,1316.0,4585.0,1850.0,1897.0,4561.0,35,60,0.1008403361344537,0.2016806722689075,0.2352941176470588,0.1176470588235294,6.857142857142857,8.0,4.0,25000.0,10031.324923076923,2.49219322389686,,,,,,,,,,,,,,,,,,,,,2500.0,12500.0
32_Phoenix_City,Quantum,15324,5,5,50542,1,0.1311408000037772,100.0,266.1136,1052.7258461538463,1.2787929338235269,1.9062076955911944,1215.777538461539,0.352150899998378,0.3517878999991808,0.0001665000017965,1.5900004655122757e-05,0.0001505999971413,,0.3517878999991808,7.099995855242014e-06,2.190000668633729e-05,9.919999865815043e-05,6.779999239370227e-05,0.352150899998378,,,,,,,,0,,0,5,2841.8,1316.0,4585.0,1850.0,1897.0,4561.0,35,60,0.1008403361344537,0.2016806722689075,0.2352941176470588,0.1176470588235294,6.857142857142857,8.0,4.0,25000.0,10031.324923076923,2.49219322389686,,,,,,,,,,,,,,,,,,,,,2500.0,12500.0
32_Phoenix_City,Quantum,15324,5,5,50542,1,0.1311408000037772,100.0,266.1136,1052.7258461538463,1.2787929338235269,1.9062076955911944,1215.777538461539,0.3539271000045119,0.3534631999937119,0.0001704000023892,1.7800004570744932e-05,0.0001525999978184,,0.3534631999937119,7.599999662488699e-06,4.630000330507755e-05,0.0001697999978205,6.910000229254365e-05,0.3539271000045119,,,,,,,,0,,0,5,2841.8,1316.0,4585.0,1850.0,1897.0,4561.0,35,60,0.1008403361344537,0.2016806722689075,0.2352941176470588,0.1176470588235294,6.857142857142857,8.0,4.0,25000.0,10031.324923076923,2.49219322389686,,,,,,,,,,,,,,,,,,,,,2500.0,12500.0
32_Phoenix_City,Quantum,15324,5,5,50542,1,0.1311408000037772,100.0,266.1136,1052.7258461538463,1.2787929338235269,1.9062076955911944,1215.777538461539,0.3571959000109928,0.3568257000006269,0.0001697999978205,1.7400001524947584e-05,0.0001523999962955,,0.3568257000006269,6.900008884258568e-06,2.229999518021941e-05,0.0001039999915519,6.630001007579267e-05,0.3571959000109928,,,,,,,,0,,0,5,2841.8,1316.0,4585.0,1850.0,1897.0,4561.0,35,60,0.1008403361344537,0.2016806722689075,0.2352941176470588,0.1176470588235294,6.857142857142857,8.0,4.0,25000.0,10031.324923076923,2.49219322389686,,,,,,,,,,,,,,,,,,,,,2500.0,12500.0
