lambda_val,M_val,mean_percent_serviced,std_percent_serviced,median_percent_serviced,min_percent_serviced,max_percent_serviced,n_runs,sem_percent_serviced
5000.0,10000.0,91.41832010582011,10.35266685639353,95.0,40.0,100.0,264,0.6371625994829005
20000.0,40000.0,91.29704785954786,10.381538074587988,94.28571428571428,40.0,100.0,264,0.6389395001298733
40000.0,200000.0,91.26773689273689,10.594794615753981,95.0,40.0,100.0,264,0.652064532936482
10000.0,20000.0,91.19032587782588,10.685932635500658,95.0,40.0,100.0,264,0.6576736903042432
40000.0,80000.0,91.07064694564696,10.66931455117758,95.0,40.0,100.0,264,0.6566509179159692
10000.0,50000.0,91.04803992303992,10.281315807832769,94.28571428571428,40.0,100.0,264,0.6327712460077591
20000.0,100000.0,91.03087421837422,10.829302182919536,94.36507936507937,40.0,100.0,264,0.6664974759806541
2500.0,5000.0,90.97079248366013,10.555359812815594,94.0,40.0,100.0,272,0.6400126974211552
5000.0,25000.0,90.87277537277538,10.64855025198246,94.14285714285714,40.0,100.0,264,0.6553729636424351
20000.0,200000.0,90.86483886483886,11.172482790897401,95.0,40.0,100.0,264,0.6876187823362488
40000.0,400000.0,90.85960798460799,11.100384712936997,94.28571428571428,40.0,100.0,264,0.6831814523798037
2500.0,25000.0,90.84992242511039,11.260691419099494,94.28571428571428,40.0,100.0,266,0.6904372898850687
5000.0,50000.0,90.61183261183261,11.14378192368937,94.14285714285714,40.0,100.0,264,0.6858523660677306
2500.0,12500.0,90.57441574415745,10.721475319929423,94.44444444444444,40.0,100.0,271,0.6512832437587686
10000.0,100000.0,90.36378667628668,11.664198638339453,94.72222222222223,40.0,100.0,264,0.7178818007361529
