city,num_vehicles,num_requests,seed,trial,lambda_val,M_val,percent_serviced,avg_waiting_time,max_waiting_time,avg_detour_factor,max_detour_factor,vmt,real_quantum_hardware,rep
32_Phoenix_City,5,5,50542,1,2500.0,5000.0,100.0,266.1136,1052.7258461538463,1.2787929338235269,1.9062076955911944,1215.777538461539,0,0
32_Phoenix_City,5,5,50542,1,2500.0,5000.0,100.0,266.1136,1052.7258461538463,1.2787929338235269,1.9062076955911944,1215.777538461539,0,1
32_Phoenix_City,5,5,50542,1,2500.0,5000.0,100.0,266.1136,1052.7258461538463,1.2787929338235269,1.9062076955911944,1215.777538461539,0,2
32_Phoenix_City,5,5,50542,1,2500.0,5000.0,100.0,266.1136,1052.7258461538463,1.2787929338235269,1.9062076955911944,1215.777538461539,0,3
32_Phoenix_City,5,5,50542,1,2500.0,5000.0,100.0,266.1136,1052.7258461538463,1.2787929338235269,1.9062076955911944,1215.777538461539,0,4
32_Phoenix_City,5,5,50542,1,2500.0,12500.0,100.0,266.1136,1052.7258461538463,1.2787929338235269,1.9062076955911944,1215.777538461539,0,0
32_Phoenix_City,5,5,50542,1,2500.0,12500.0,100.0,266.1136,1052.7258461538463,1.2787929338235269,1.9062076955911944,1215.777538461539,0,1
32_Phoenix_City,5,5,50542,1,2500.0,12500.0,100.0,266.1136,1052.7258461538463,1.2787929338235269,1.9062076955911944,1215.777538461539,0,2
32_Phoenix_City,5,5,50542,1,2500.0,12500.0,100.0,266.1136,1052.7258461538463,1.2787929338235269,1.9062076955911944,1215.777538461539,0,3
32_Phoenix_City,5,5,50542,1,2500.0,12500.0,100.0,266.1136,1052.7258461538463,1.2787929338235269,1.9062076955911944,1215.777538461539,0,4
32_Phoenix_City,5,5,50542,1,2500.0,25000.0,100.0,266.1136,1052.7258461538463,1.2787929338235269,1.9062076955911944,1215.777538461539,0,0
32_Phoenix_City,5,5,50542,1,2500.0,25000.0,100.0,266.1136,1052.7258461538463,1.2787929338235269,1.9062076955911944,1215.777538461539,0,1
32_Phoenix_City,5,5,50542,1,2500.0,25000.0,100.0,266.1136,1052.7258461538463,1.2787929338235269,1.9062076955911944,1215.777538461539,0,2
32_Phoenix_City,5,5,50542,1,2500.0,25000.0,100.0,266.1136,1052.7258461538463,1.2787929338235269,1.9062076955911944,1215.777538461539,0,3
32_Phoenix_City,5,5,50542,1,2500.0,25000.0,100.0,266.1136,1052.7258461538463,1.2787929338235269,1.9062076955911944,1215.777538461539,0,4
32_Phoenix_City,5,5,50542,1,5000.0,10000.0,100.0,266.1136,1052.7258461538463,1.2787929338235269,1.9062076955911944,1215.777538461539,0,0
32_Phoenix_City,5,5,50542,1,5000.0,10000.0,100.0,266.1136,1052.7258461538463,1.2787929338235269,1.9062076955911944,1215.777538461539,0,1
32_Phoenix_City,5,5,50542,1,5000.0,10000.0,100.0,266.1136,1052.7258461538463,1.2787929338235269,1.9062076955911944,1215.777538461539,0,2
32_Phoenix_City,5,5,50542,1,5000.0,10000.0,100.0,266.1136,1052.7258461538463,1.2787929338235269,1.9062076955911944,1215.777538461539,0,3
32_Phoenix_City,5,5,50542,1,5000.0,10000.0,100.0,266.1136,1052.7258461538463,1.2787929338235269,1.9062076955911944,1215.777538461539,0,4
32_Phoenix_City,5,5,50542,1,5000.0,25000.0,100.0,266.1136,1052.7258461538463,1.2787929338235269,1.9062076955911944,1215.777538461539,0,0
32_Phoenix_City,5,5,50542,1,5000.0,25000.0,100.0,266.1136,1052.7258461538463,1.2787929338235269,1.9062076955911944,1215.777538461539,0,1
32_Phoenix_City,5,5,50542,1,5000.0,25000.0,100.0,266.1136,1052.7258461538463,1.2787929338235269,1.9062076955911944,1215.777538461539,0,2
32_Phoenix_City,5,5,50542,1,5000.0,25000.0,100.0,266.1136,1052.7258461538463,1.2787929338235269,1.9062076955911944,1215.777538461539,0,3
32_Phoenix_City,5,5,50542,1,5000.0,25000.0,100.0,266.1136,1052.7258461538463,1.2787929338235269,1.9062076955911944,1215.777538461539,0,4
32_Phoenix_City,5,5,50542,1,5000.0,50000.0,100.0,266.1136,1052.7258461538463,1.2787929338235269,1.9062076955911944,1215.777538461539,0,0
32_Phoenix_City,5,5,50542,1,5000.0,50000.0,100.0,266.1136,1052.7258461538463,1.2787929338235269,1.9062076955911944,1215.777538461539,0,1
32_Phoenix_City,5,5,50542,1,5000.0,50000.0,100.0,266.1136,1052.7258461538463,1.2787929338235269,1.9062076955911944,1215.777538461539,0,2
32_Phoenix_City,5,5,50542,1,5000.0,50000.0,100.0,266.1136,1052.7258461538463,1.2787929338235269,1.9062076955911944,1215.777538461539,0,3
32_Phoenix_City,5,5,50542,1,5000.0,50000.0,100.0,266.1136,1052.7258461538463,1.2787929338235269,1.9062076955911944,1215.777538461539,0,4
