city,encoding,num_vehicles,num_requests,seed,trial,pegasus_size,logical_qubits,n_couplers,embed_success,physical_qubits,max_chain,mean_chain,embed_time_s
32_Phoenix_City,merge_tree,20,30,302042,1,16,1335,2610,0,,,,601.3450064659119
32_Phoenix_City,pairwise,20,30,302042,1,16,465,13050,0,,,,610.5572686195374
32_Phoenix_City,merge_tree,20,30,302043,2,16,1335,2610,0,,,,602.7402989864349
32_Phoenix_City,pairwise,20,30,302043,2,16,465,13050,0,,,,612.3536005020142
32_Phoenix_City,merge_tree,20,30,302044,3,16,1335,2610,0,,,,601.7987973690033
32_Phoenix_City,pairwise,20,30,302044,3,16,465,13050,0,,,,613.34716796875
32_Phoenix_City,merge_tree,20,30,302045,4,16,1335,2610,0,,,,602.3570418357849
32_Phoenix_City,pairwise,20,30,302045,4,16,465,13050,0,,,,612.412900686264
32_Phoenix_City,merge_tree,20,30,302046,5,16,1335,2610,0,,,,601.7617526054382
32_Phoenix_City,pairwise,20,30,302046,5,16,465,13050,0,,,,609.2929453849792
