cost_alpha,percent_serviced,vmt,ilp_serviced,ilp_vmt
1.0,97.5,9339.234307692308,100.0,7687.526923076922
5.0,95.0,8657.139076923075,100.0,7687.526923076922
10.0,90.0,7480.753846153845,100.0,7687.526923076922
20.0,47.5,3302.753384615384,100.0,7687.526923076922
50.0,12.5,316.3381538461539,100.0,7687.526923076922
