num_requests,prep_build_time,dwave_qpu_time,output_time,quantum_end_to_end,output_fraction
5,0.10975377000868307,0.395,0.0003649900143499956,0.5051187600230331,0.0007225825751024418
10,0.20690941500070026,0.395,0.0008291699894469502,0.6027385849901472,0.0013756709958439187
20,0.3930563200003233,0.395,0.002558925002813199,0.7906152450031365,0.00323662491836095
30,0.6224281899951165,0.395,0.00582246500416639,1.0232506549992828,0.005690164942206141
40,0.8206885699939447,0.395,0.00934385499567705,1.2250324249896218,0.007627434837699262
50,1.402310149971163,0.395,0.01774937000591286,1.8150595199770758,0.009778946536219945
60,1.6673350749915699,0.395,0.019311120000202013,2.081646194991772,0.009276850238365478
70,2.710066689993255,0.395,0.03210089001222492,3.1371675800054795,0.010232443499932143
80,2.962847864977084,0.395,0.033037215005606205,3.39088507998269,0.009742947409404642
90,4.92802723000641,0.395,0.05190386999165619,5.374931099998066,0.00965665773681729
100,3.6351445800391957,0.395,0.035512609989382125,4.0656571900285785,0.008734777264664682
120,5.626434570021229,0.395,0.050438180007040326,6.071872750028269,0.008306857222395759
140,8.47503074000706,0.395,0.06699823000235464,8.937028970009413,0.007496700550841347
160,12.051513769989834,0.395,0.08381215001572834,12.530325920005561,0.006688744614528841
180,16.736704950017156,0.395,0.1043183500005396,17.236023300017695,0.006052344452355927
