series,exponent,C,R2
QUBO vars (V = R),1.7974606407719502,2.275634836077085,0.9886244681281483
QUBO vars (V = R/2),1.5079136890380376,6.0635307840208945,0.9845266554634289
ILP integer vars (V = R),2.8613735226846204,0.5598394042507839,0.9995892733600042
ILP integer vars (V = R/2),2.9357004092194727,0.21638441041800338,0.9996008457194522
Greedy sort work (V = R),3.3042305786017985,1.454873703486071,0.9996189909566652
Greedy sort work (V = R/2),3.3016447647325253,0.6757966977439598,0.9998228351205158
QUBO couplers,1.6585934736540082,6.491033654300844,0.9762402043173645
ILP nonzeros,2.779888142860257,1.67292929516596,0.9944561836392587
