num_requests,mean,sem,count
5,2.132144153737975,0.1406323389647415,83
10,1.6560104454147522,0.0297927452018377,333
20,1.674457377134383,0.022288825497741006,702
30,1.591079568846345,0.02518248937116241,1154
40,1.5914240322674444,0.015350303179505014,1498
50,1.4185401086975649,0.014891015918601414,954
60,1.4441813552053193,0.013188315018592758,2246
70,1.3256582231469107,0.013061286601540174,1328
80,1.3393355479643918,0.009113630540352592,3018
90,1.2504446669681808,0.011591212305511769,1706
100,1.3692509189851974,0.01110354458584435,1868
120,1.2750902117976293,0.010142557875031074,2260
140,1.2404332422198086,0.008630025253514608,2604
160,1.1976633998455057,0.007787476649495465,2958
180,1.192381764552853,0.019773999989471863,3316
