city,num_vehicles,num_requests,seed,trial,percent_serviced_sim,avg_waiting_time_sim,avg_detour_factor_sim,vmt_sim,percent_serviced_real,avg_waiting_time_real,avg_detour_factor_real,vmt_real
32_Phoenix_City,5,5,50542,1,100.0,224.1024615384616,1.823086649064296,1495.2375384615389,100.0,327.5280000000001,1.647757745525168,1222.0384615384617
32_Phoenix_City,5,5,50543,2,100.0,330.8434461538462,1.9797201975030028,1409.1646153846154,100.0,115.95766153846162,1.1863874623586743,996.425846153846
32_Phoenix_City,5,5,50544,3,80.0,173.31623076923074,3.110393359301248,914.5869230769232,100.0,138.65298461538458,3.1393690586902507,1724.7250769230775
32_Phoenix_City,5,5,50545,4,100.0,806.3772,4.404865221699351,1995.503692307692,80.0,405.2585384615385,3.916304540213349,1855.7793846153847
