metric,n_pairs,mean_sim,mean_real,mean_diff_real_minus_sim
percent_serviced,4,95.0,95.0,0.0
avg_waiting_time,4,383.6598346153846,246.8492961538462,-136.81053846153844
avg_detour_factor,4,2.8295163568919746,2.4724547016968605,-0.35706165519511407
vmt,4,1453.6231923076923,1449.7421923076924,-3.880999999999915
