city,run_type,nodes,num_vehicles,num_requests,seed,trial,rtv_graph_build_time,percent_serviced,avg_waiting_time,max_waiting_time,avg_detour_factor,max_detour_factor,vmt,total_run_time,solve_time,qubo_build_time,time_min_cost_prep,time_qubo_gen,time_compress,time_quantum_solve,time_decode,time_vehicle_assignment,time_metrics_calc,time_struct_stats,time_total_quantum_block,ilp_num_vars,ilp_num_constraints,ilp_num_integer_vars,ilp_num_nonzero_coeffs,energy_gap,argmin_preservation,condition_number,real_quantum_hardware,K,infeasible_windows,arrival_violations,mean_slack,min_slack,max_slack,p25_slack,median_slack,p75_slack,base_qubo_vars,base_qubo_couplers,base_qubo_graph_density,base_node_density_avg,base_node_density_max,base_node_density_min,base_degree_avg,base_degree_max,base_degree_min,base_qubo_max_abs,base_qubo_min_nonzero_abs,base_qubo_dynamic_range,comp_qubo_vars,comp_qubo_couplers,comp_qubo_graph_density,comp_node_density_avg,comp_node_density_max,comp_node_density_min,comp_degree_avg,comp_degree_max,comp_degree_min,comp_qubo_max_abs,comp_qubo_min_nonzero_abs,comp_qubo_dynamic_range,qubo_logical_qubits,time_greedy_build_candidates,greedy_edges_total,time_greedy_sort,time_greedy_select,time_greedy_total,greedy_sort_work,greedy_assignments,lambda_val,M_val,raw_selected_trips,raw_kept_trips,raw_dropped_trips,raw_violation_rate,raw_infeasible_instance,base_qubo_logical_qubits,ilp_num_binary_vars,ilp_num_continuous_vars
32_Phoenix_City,ClassicalGreedy,15324,5,5,50542,1,0.1149081999901682,100.0,532.5569230769231,1406.1569230769232,1.1333577306681255,1.3004392603155206,1228.8516923076927,0.0002535000094212,9.300000965595244e-05,,,,,,,,,,,,,,,,,,,,0,5,2841.8,1316.0,4585.0,1850.0,1897.0,4561.0,,,,,,,,,,,,,,,,,,,,,,,,,,3.960001049563289e-05,61.0,6.699992809444666e-06,1.5700061339884996e-05,6.200006464496255e-05,305.11578967384844,3.0,,,,,,,,,,
32_Phoenix_City,Classical,15324,5,5,50542,1,0.1149081999901682,100.0,369.5391384615385,1052.7258461538463,1.2542908061807243,1.9062076955911944,1118.1092307692309,0.030317600001581,0.0301815000129863,,,,,,,,,,,66.0,10.0,66.0,167.0,,,,,,0,5,2841.8,1316.0,4585.0,1850.0,1897.0,4561.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0
32_Phoenix_City,Quantum,15324,5,5,50542,1,0.1149081999901682,100.0,379.9492923076924,1052.7258461538463,1.1619684974082587,1.2587582243903246,1260.531384615385,0.3483469000202603,0.3469930000137537,0.000168600003235,1.3699987903237345e-05,0.0001549000153318,,0.3469930000137537,8.600007276982069e-06,0.0002300000051036,8.450000314041972e-05,0.00011090002954,0.3483469000202603,,,,,,,,0.0,,0,5,2841.8,1316.0,4585.0,1850.0,1897.0,4561.0,35.0,60.0,0.1008403361344537,0.2016806722689075,0.2352941176470588,0.1176470588235294,6.857142857142857,8.0,4.0,50000.0,22531.32492307692,2.219132703944509,,,,,,,,,,,,,,,,,,,,,2500.0,25000.0,6.0,3.0,3.0,0.5,1.0,35.0,,
32_Phoenix_City,ClassicalGreedy,15324,5,5,50543,2,0.1133147000218741,100.0,122.80006153846152,614.0003076923076,1.3866871965724332,1.6352320597824093,1170.6252307692305,0.0002623999607749,9.679998038336636e-05,,,,,,,,,,,,,,,,,,,,0,5,3328.6,1405.0,4471.0,3150.0,3342.0,4275.0,,,,,,,,,,,,,,,,,,,,,,,,,,4.3199979700148106e-05,75.0,1.3199984095990658e-05,1.6900012269616127e-05,7.329997606575489e-05,398.2892142331043,3.0,,,,,,,,,,
32_Phoenix_City,Classical,15324,5,5,50543,2,0.1133147000218741,100.0,238.7577230769232,614.0003076923076,1.1863874623586743,1.3109102101413412,996.425846153846,0.0304564000107347,0.0302917000371962,,,,,,,,,,,80.0,10.0,80.0,205.0,,,,,,0,5,3328.6,1405.0,4471.0,3150.0,3342.0,4275.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0
32_Phoenix_City,Quantum,15324,5,5,50543,2,0.1133147000218741,100.0,389.9670153846155,1111.985846153846,1.839052990411216,2.719201364601357,1252.3864615384612,0.3510089000337757,0.3495562000316567,0.0001760000013746,2.149998908862472e-05,0.000154500012286,,0.3495562000316567,8.399947546422482e-06,0.0002935000229626,0.000101099954918,9.879999561235309e-05,0.3510089000337757,,,,,,,,0.0,,0,5,3328.6,1405.0,4471.0,3150.0,3342.0,4275.0,35.0,60.0,0.1008403361344537,0.2016806722689075,0.2352941176470588,0.1176470588235294,6.857142857142857,8.0,4.0,50000.0,22568.18,2.215508738409566,,,,,,,,,,,,,,,,,,,,,2500.0,25000.0,7.0,3.0,4.0,0.5714285714285714,1.0,35.0,,
32_Phoenix_City,ClassicalGreedy,15324,5,5,50544,3,0.1128742000437341,100.0,138.65298461538458,693.264923076923,1.7134339648820192,1.7842128077520318,1343.1280000000002,0.0001717999693937,5.859998054802418e-05,,,,,,,,,,,,,,,,,,,,0,5,3191.4,1368.0,4482.0,3070.0,3357.0,3680.0,,,,,,,,,,,,,,,,,,,,,,,,,,2.269999822601676e-05,70.0,6.999936886131764e-06,1.460005296394229e-05,4.429998807609081e-05,364.1229499959304,3.0,,,,,,,,,,
32_Phoenix_City,Classical,15324,5,5,50544,3,0.1128742000437341,100.0,138.65298461538458,693.264923076923,1.691783965030391,1.7776796409784554,1310.7464615384615,0.0241061000269837,0.0239564000512473,,,,,,,,,,,75.0,10.0,75.0,191.0,,,,,,0,5,3191.4,1368.0,4482.0,3070.0,3357.0,3680.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0
32_Phoenix_City,Quantum,15324,5,5,50544,3,0.1128742000437341,60.0,231.0883076923077,693.264923076923,2.0084062413658983,2.252471026192674,1266.153230769231,0.3488419000059366,0.347807299986016,0.0001606000005267,1.729995710775256e-05,0.000143300043419,,0.347807299986016,7.299997378140688e-06,0.0001289999927394,3.7299992982298136e-05,8.540000999346375e-05,0.3488419000059366,,,,,,,,0.0,,0,5,3191.4,1368.0,4482.0,3070.0,3357.0,3680.0,35.0,60.0,0.1008403361344537,0.2016806722689075,0.2352941176470588,0.1176470588235294,6.857142857142857,8.0,4.0,50000.0,22647.632769230768,2.207736257006532,,,,,,,,,,,,,,,,,,,,,2500.0,25000.0,7.0,2.0,5.0,0.7142857142857143,1.0,35.0,,
32_Phoenix_City,ClassicalGreedy,15324,5,5,50545,4,0.1102047999738715,100.0,481.42815384615386,1492.2716923076923,2.942099113463063,4.7044732414153625,1440.9276923076925,0.0001997000072151,7.489998824894428e-05,,,,,,,,,,,,,,,,,,,,0,5,2190.2,1341.0,3262.0,1890.0,2187.0,2271.0,,,,,,,,,,,,,,,,,,,,,,,,,,3.559998003765941e-05,63.0,5.999987479299307e-06,1.3399985618889332e-05,5.4999953135848045e-05,317.767127799362,3.0,,,,,,,,,,
