city,run_type,nodes,num_vehicles,num_requests,seed,trial,rtv_graph_build_time,percent_serviced,avg_waiting_time,max_waiting_time,avg_detour_factor,max_detour_factor,vmt,total_run_time,solve_time,qubo_build_time,time_min_cost_prep,time_qubo_gen,time_compress,time_quantum_solve,time_decode,time_vehicle_assignment,time_metrics_calc,time_struct_stats,time_total_quantum_block,ilp_num_vars,ilp_num_constraints,ilp_num_integer_vars,ilp_num_nonzero_coeffs,energy_gap,argmin_preservation,condition_number,real_quantum_hardware,K,infeasible_windows,arrival_violations,mean_slack,min_slack,max_slack,p25_slack,median_slack,p75_slack,base_qubo_vars,base_qubo_couplers,base_qubo_graph_density,base_node_density_avg,base_node_density_max,base_node_density_min,base_degree_avg,base_degree_max,base_degree_min,base_qubo_max_abs,base_qubo_min_nonzero_abs,base_qubo_dynamic_range,comp_qubo_vars,comp_qubo_couplers,comp_qubo_graph_density,comp_node_density_avg,comp_node_density_max,comp_node_density_min,comp_degree_avg,comp_degree_max,comp_degree_min,comp_qubo_max_abs,comp_qubo_min_nonzero_abs,comp_qubo_dynamic_range,qubo_logical_qubits,time_greedy_build_candidates,greedy_edges_total,time_greedy_sort,time_greedy_select,time_greedy_total,greedy_sort_work,greedy_assignments,lambda_val,M_val,num_reads,num_sweeps,cost_alpha,raw_selected_trips,raw_kept_trips,raw_dropped_trips,raw_violation_rate,raw_infeasible_instance,base_qubo_logical_qubits,ilp_num_binary_vars,ilp_num_continuous_vars,ilp_status,ilp_sol_status,ilp_optimal,ilp_has_incumbent,ilp_time_limit_s,ilp_time_limit_hit,ilp_incumbent_objective,ilp_best_bound,ilp_optimality_gap,ilp_used_warm_start_fallback,ilp_solve_time_limit_s,ilp_solve_wall_time_s
32_Phoenix_City,ClassicalGreedy,15324,5,5,50542,1,0.1113608999876305,100.0,532.5569230769231,1406.1569230769232,1.1333577306681255,1.3004392603155206,1228.8516923076927,0.0012236000038683,0.0004743000026792,,,,,,,,,,,,,,,,,,,,0,5,2841.8,1316.0,4585.0,1850.0,1897.0,4561.0,,,,,,,,,,,,,,,,,,,,,,,,,,0.0001110999728552,61.0,6.9500005338341e-05,0.0001815999858081,0.0003621999640017,305.11578967384844,3.0,,,,,,,,,,,,,,,,,,,,,,,,,
32_Phoenix_City,Classical,15324,5,5,50542,1,0.1113608999876305,100.0,369.5391384615385,1052.7258461538463,1.2542908061807243,1.9062076955911944,1118.1092307692309,0.0453104000189341,0.0451776999980211,,,,,,,,,,,66.0,10.0,66.0,167.0,,,,,,0,5,2841.8,1316.0,4585.0,1850.0,1897.0,4561.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,,,,
32_Phoenix_City,Quantum,15324,5,5,50542,1,0.1113608999876305,80.0,198.7424615384616,517.1276923076925,1.2099596984778445,1.5115935168028318,1201.3944615384614,0.3492276000324636,0.3477432999643497,0.0002858000225387,1.260003773495555e-05,0.0002731999848037,,0.3477432999643497,9.500014130026102e-06,0.0002129999920725,7.459998596459627e-05,0.0001229000044986,0.3492276000324636,,,,,,,,0.0,,0,5,2841.8,1316.0,4585.0,1850.0,1897.0,4561.0,35.0,60.0,0.1008403361344537,0.2016806722689075,0.2352941176470588,0.1176470588235294,6.857142857142857,8.0,4.0,50000.0,20031.32492307692,2.49609050784244,,,,,,,,,,,,,,,,,,,,,5000.0,25000.0,1000.0,1000.0,1.0,6.0,2.0,4.0,0.6666666666666666,1.0,35.0,,,,,,,,,,,,,,
32_Phoenix_City,ClassicalGreedy,15324,5,5,50543,2,0.1139042999711819,100.0,122.80006153846152,614.0003076923076,1.3866871965724332,1.6352320597824093,1170.6252307692305,0.00023579999106,9.159999899566174e-05,,,,,,,,,,,,,,,,,,,,0,5,3328.6,1405.0,4471.0,3150.0,3342.0,4275.0,,,,,,,,,,,,,,,,,,,,,,,,,,4.099996294826269e-05,75.0,8.200004231184721e-06,1.629994949325919e-05,6.54999166727066e-05,398.2892142331043,3.0,,,,,,,,,,,,,,,,,,,,,,,,,
32_Phoenix_City,Classical,15324,5,5,50543,2,0.1139042999711819,100.0,238.7577230769232,614.0003076923076,1.1863874623586743,1.3109102101413412,996.425846153846,0.0275579000008292,0.0273941999766975,,,,,,,,,,,80.0,10.0,80.0,205.0,,,,,,0,5,3328.6,1405.0,4471.0,3150.0,3342.0,4275.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,,,,
32_Phoenix_City,Quantum,15324,5,5,50543,2,0.1139042999711819,100.0,0.0,0.0,1.875834661020896,2.8951433631746046,1399.2870769230767,0.3524843999766744,0.3510582000017166,0.0002702999627217,1.9099970813840628e-05,0.0002511999919079,,0.3510582000017166,7.700000423938036e-06,0.0003251999733038,9.390001650899649e-05,8.3099992480129e-05,0.3524843999766744,,,,,,,,0.0,,0,5,3328.6,1405.0,4471.0,3150.0,3342.0,4275.0,35.0,60.0,0.1008403361344537,0.2016806722689075,0.2352941176470588,0.1176470588235294,6.857142857142857,8.0,4.0,50000.0,20068.18,2.491506454496621,,,,,,,,,,,,,,,,,,,,,5000.0,25000.0,1000.0,1000.0,1.0,6.0,3.0,3.0,0.5,1.0,35.0,,,,,,,,,,,,,,
32_Phoenix_City,ClassicalGreedy,15324,5,5,50544,3,0.117026399995666,100.0,138.65298461538458,693.264923076923,1.7134339648820192,1.7842128077520318,1343.1280000000002,0.0002286999952048,9.629997657611966e-05,,,,,,,,,,,,,,,,,,,,0,5,3191.4,1368.0,4482.0,3070.0,3357.0,3680.0,,,,,,,,,,,,,,,,,,,,,,,,,,4.460004856809974e-05,70.0,1.2899981811642648e-05,1.7700018361210823e-05,7.520004874095321e-05,364.1229499959304,3.0,,,,,,,,,,,,,,,,,,,,,,,,,
32_Phoenix_City,Classical,15324,5,5,50544,3,0.117026399995666,100.0,138.65298461538458,693.264923076923,1.691783965030391,1.7776796409784554,1310.7464615384615,0.0343980999896302,0.0342421999666839,,,,,,,,,,,75.0,10.0,75.0,191.0,,,,,,0,5,3191.4,1368.0,4482.0,3070.0,3357.0,3680.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,,,,
32_Phoenix_City,Quantum,15324,5,5,50544,3,0.117026399995666,100.0,138.65298461538458,693.264923076923,2.4479238000045087,3.070354054554896,1916.996615384616,0.3531185999745503,0.3517538999440148,0.0002089000190608,1.6600009985268116e-05,0.0001923000090755,,0.3517538999440148,6.700051017105579e-06,0.0002306000096723,7.230002665892243e-05,7.829995593056083e-05,0.3531185999745503,,,,,,,,0.0,,0,5,3191.4,1368.0,4482.0,3070.0,3357.0,3680.0,35.0,60.0,0.1008403361344537,0.2016806722689075,0.2352941176470588,0.1176470588235294,6.857142857142857,8.0,4.0,50000.0,20147.632769230768,2.4816811271426102,,,,,,,,,,,,,,,,,,,,,5000.0,25000.0,1000.0,1000.0,1.0,6.0,3.0,3.0,0.5,1.0,35.0,,,,,,,,,,,,,,
32_Phoenix_City,ClassicalGreedy,15324,5,5,50545,4,0.1126937000080943,100.0,481.42815384615386,1492.2716923076923,2.942099113463063,4.7044732414153625,1440.9276923076925,0.0001952000311575,5.820003570988774e-05,,,,,,,,,,,,,,,,,,,,0,5,2190.2,1341.0,3262.0,1890.0,2187.0,2271.0,,,,,,,,,,,,,,,,,,,,,,,,,,2.269999822601676e-05,63.0,6.699934601783752e-06,1.390004763379693e-05,4.329998046159744e-05,317.767127799362,3.0,,,,,,,,,,,,,,,,,,,,,,,,,
