seed,trial,num_vehicles,num_requests,real_quantum_hardware,request_id,served,slack,detour_factor
100547,6,5,10,0,2,1,2114.0,1.2369368507760605
100547,6,5,10,0,3,0,1283.0,
100547,6,5,10,0,4,1,2875.0,1.5457000524577835
100547,6,5,10,0,5,1,4072.0,1.2620939259647976
100547,6,5,10,0,6,0,1303.0,
100547,6,5,10,0,7,0,2511.0,
100547,6,5,10,0,8,1,2824.0,1.1212681101463549
100547,6,5,10,0,9,1,3221.0,1.5457000524577835
100547,6,5,10,0,10,0,1362.0,
100548,7,5,10,0,1,1,3767.0,2.690787673705161
100548,7,5,10,0,2,1,3832.0,1.5582506941490348
100548,7,5,10,0,3,1,1475.0,2.2498945907769468
100548,7,5,10,0,4,1,3550.0,1.748405346072796
100548,7,5,10,0,5,0,2885.0,
100548,7,5,10,0,6,1,3826.0,2.2498945907769468
100548,7,5,10,0,7,1,1768.0,1.5582506941490348
100548,7,5,10,0,8,1,1710.0,2.4664237930225736
100548,7,5,10,0,9,1,3188.0,1.748405346072796
100548,7,5,10,0,10,1,3575.0,2.690787673705161
100549,8,5,10,0,1,1,4058.0,1.0139273371086974
100549,8,5,10,0,2,1,4773.0,1.4141731864860319
100549,8,5,10,0,3,1,4501.0,2.346216167556864
100549,8,5,10,0,4,1,2454.0,2.5437924072419156
100549,8,5,10,0,5,1,4107.0,1.0139273371086974
100549,8,5,10,0,6,1,4400.0,2.346216167556864
100549,8,5,10,0,7,1,4106.0,1.4141731864860319
100549,8,5,10,0,8,0,4364.0,
100549,8,5,10,0,9,0,3335.0,
100549,8,5,10,0,10,1,1673.0,2.5437924072419156
100550,9,5,10,0,1,0,4174.0,
100550,9,5,10,0,2,1,2420.0,1.6994602997145913
100550,9,5,10,0,3,1,3123.0,17.695296883576887
100550,9,5,10,0,4,1,3660.0,1.6100127837830274
100550,9,5,10,0,5,1,2392.0,1.4091433656855066
100550,9,5,10,0,6,0,2736.0,
100550,9,5,10,0,7,1,3593.0,1.6994602997145913
100550,9,5,10,0,8,1,2195.0,1.4091433656855066
100550,9,5,10,0,9,1,3115.0,3.81428698071232
100550,9,5,10,0,10,1,2194.0,1.6100127837830274
100551,10,5,10,0,1,1,2589.0,2.8163086619347553
100551,10,5,10,0,2,1,3555.0,1.5015567977178916
100551,10,5,10,0,3,0,1991.0,
100551,10,5,10,0,4,1,3423.0,3.1882658088576425
100551,10,5,10,0,5,1,2081.0,3.1882658088576425
100551,10,5,10,0,6,0,3571.0,
100551,10,5,10,0,7,1,3435.0,1.1069113866145566
100551,10,5,10,0,8,1,3956.0,5.866924260781296
100551,10,5,10,0,9,1,4774.0,1.5015567977178916
100551,10,5,10,0,10,1,3821.0,2.8163086619347553
101042,1,10,10,0,1,1,3537.0,2.1676185094197007
101042,1,10,10,0,2,1,3954.0,0.9196900101909905
101042,1,10,10,0,3,1,1443.0,2.1676185094197007
101042,1,10,10,0,4,1,4403.0,1.2889725355535062
101042,1,10,10,0,5,1,1805.0,1.6244910422842094
101042,1,10,10,0,6,1,2116.0,1.6244910422842094
101042,1,10,10,0,7,1,2797.0,0.9196900101909905
101042,1,10,10,0,8,0,1234.0,
101042,1,10,10,0,9,1,1513.0,1.008830458118468
101042,1,10,10,0,10,1,2071.0,1.2889725355535062
101043,2,10,10,0,1,1,2554.0,2.448772499233121
101043,2,10,10,0,2,1,4741.0,1.955198622112294
101043,2,10,10,0,3,1,4274.0,1.8628920656345656
101043,2,10,10,0,4,1,2962.0,1.4247026520521642
101043,2,10,10,0,5,1,4021.0,1.4247026520521642
101043,2,10,10,0,6,1,3702.0,1.8628920656345656
101043,2,10,10,0,7,1,4090.0,1.131300968599927
101043,2,10,10,0,8,1,1437.0,1.955198622112294
101043,2,10,10,0,9,1,2679.0,1.935705351138186
101043,2,10,10,0,10,1,1842.0,4.82536597469192
101044,3,10,10,0,1,1,1705.0,1.438031721715244
101044,3,10,10,0,2,1,4009.0,2.156105652788291
101044,3,10,10,0,3,1,1409.0,2.0063283549547584
101044,3,10,10,0,4,1,4540.0,2.2307705688576096
101044,3,10,10,0,5,1,2324.0,1.4503304128872079
101044,3,10,10,0,6,1,4579.0,2.0063283549547584
101044,3,10,10,0,7,1,4415.0,1.4503304128872079
101044,3,10,10,0,8,1,1300.0,2.156105652788291
101044,3,10,10,0,9,1,2631.0,1.808027928335281
101044,3,10,10,0,10,1,4047.0,2.2307705688576096
101045,4,10,10,0,1,1,3663.0,1.5870263782144975
101045,4,10,10,0,2,1,4319.0,1.0926415240640117
101045,4,10,10,0,3,1,1555.0,2.086285730113575
101045,4,10,10,0,4,1,1509.0,1.634093160155888
101045,4,10,10,0,5,1,3228.0,1.634093160155888
101045,4,10,10,0,6,1,3462.0,2.086285730113575
101045,4,10,10,0,7,1,1676.0,1.5870263782144975
101045,4,10,10,0,8,1,1231.0,1.4624828744129879
101045,4,10,10,0,9,0,4312.0,
101045,4,10,10,0,10,1,3496.0,1.4624828744129879
101046,5,10,10,0,1,1,3657.0,1.2625075026111456
101046,5,10,10,0,2,1,1298.0,1.11769839694965
101046,5,10,10,0,3,1,2237.0,1.0042559334973595
101046,5,10,10,0,4,1,2339.0,1.608229650138277
101046,5,10,10,0,5,1,1355.0,1.608229650138277
101046,5,10,10,0,6,1,1326.0,1.0042559334973595
101046,5,10,10,0,7,1,3913.0,1.11769839694965
101046,5,10,10,0,8,1,1985.0,1.1384615263662303
101046,5,10,10,0,9,1,2384.0,1.2625075026111456
101046,5,10,10,0,10,1,2089.0,1.1384615263662303
101047,6,10,10,0,1,1,1225.0,1.0885401848324894
101047,6,10,10,0,2,1,4566.0,1.859039172234151
101047,6,10,10,0,3,1,1209.0,1.5007537962462019
101047,6,10,10,0,4,1,2583.0,0.9767451859773042
101047,6,10,10,0,5,1,3254.0,1.4027598704872781
101047,6,10,10,0,6,1,4230.0,1.5007537962462019
101047,6,10,10,0,7,1,2361.0,1.3625096543970283
101047,6,10,10,0,8,1,4424.0,1.859039172234151
101047,6,10,10,0,9,1,2280.0,1.4027598704872781
101047,6,10,10,0,10,1,4268.0,0.9767451859773042
101048,7,10,10,0,1,1,3477.0,1.4701568917535814
101048,7,10,10,0,2,1,1737.0,1.3501192372792021
101048,7,10,10,0,3,1,2300.0,1.4503254113538333
101048,7,10,10,0,4,1,1556.0,1.3145312549780934
101048,7,10,10,0,5,1,4125.0,1.4503254113538333
101048,7,10,10,0,6,1,2372.0,1.2805364400106052
101048,7,10,10,0,7,1,1789.0,1.3501192372792021
101048,7,10,10,0,8,1,1598.0,1.000000703882829
101048,7,10,10,0,9,1,4004.0,1.2805364400106052
101048,7,10,10,0,10,0,4073.0,
101049,8,10,10,0,1,1,3367.0,1.2569917399393409
101049,8,10,10,0,2,1,4047.0,1.6188261861318827
101049,8,10,10,0,3,1,2542.0,2.155827085842999
101049,8,10,10,0,4,1,3265.0,3.187421310301003
101049,8,10,10,0,5,1,3302.0,3.187421310301003
101049,8,10,10,0,6,1,3402.0,2.155827085842999
101049,8,10,10,0,7,1,2269.0,1.6188261861318827
101049,8,10,10,0,8,1,3236.0,1.2569917399393409
101049,8,10,10,0,9,1,2565.0,2.0638031683398133
101049,8,10,10,0,10,1,3429.0,1.1233452016676195
101050,9,10,10,0,1,1,1890.0,1.3670623161534823
101050,9,10,10,0,2,1,3322.0,1.0234424334791226
101050,9,10,10,0,3,1,4518.0,1.6882840830833108
101050,9,10,10,0,4,1,1365.0,1.3204133297405327
101050,9,10,10,0,5,0,4417.0,
101050,9,10,10,0,6,1,4694.0,1.6882840830833108
101050,9,10,10,0,7,1,4161.0,1.0234424334791226
101050,9,10,10,0,8,1,3514.0,1.1663221404041924
101050,9,10,10,0,9,1,3362.0,1.0000018765176337
101050,9,10,10,0,10,1,3567.0,1.3204133297405327
101051,10,10,10,0,1,0,4669.0,
101051,10,10,10,0,2,1,4644.0,0.8491259318957555
101051,10,10,10,0,3,1,2867.0,1.266194825889326
101051,10,10,10,0,4,1,4518.0,1.3525263151451228
101051,10,10,10,0,5,1,2224.0,1.5829248112880618
101051,10,10,10,0,6,1,2216.0,1.266194825889326
101051,10,10,10,0,7,1,3010.0,0.8491259318957555
101051,10,10,10,0,8,1,2517.0,1.5829248112880618
101051,10,10,10,0,9,1,3591.0,1.6803163308631752
101051,10,10,10,0,10,1,2722.0,1.3525263151451228
201042,1,10,20,0,1,1,1442.0,1.084146938417665
201042,1,10,20,0,2,1,4056.0,2.194221789160659
201042,1,10,20,0,3,0,3720.0,
201042,1,10,20,0,4,1,2987.0,2.045822830558511
201042,1,10,20,0,5,1,4639.0,1.9434232837795473
201042,1,10,20,0,6,1,1385.0,1.2000592067156788
201042,1,10,20,0,7,1,1263.0,1.3430467496732326
201042,1,10,20,0,8,1,2638.0,2.194221789160659
201042,1,10,20,0,9,1,3560.0,1.98127843096438
201042,1,10,20,0,10,1,2738.0,2.045822830558511
201042,1,10,20,0,11,1,2482.0,1.9434232837795473
201042,1,10,20,0,12,1,3435.0,1.4432755667188635
201042,1,10,20,0,13,1,1830.0,1.98127843096438
201042,1,10,20,0,14,1,3025.0,2.212629789404898
201042,1,10,20,0,15,1,4676.0,2.7425762022508264
201042,1,10,20,0,16,1,1602.0,2.7425762022508264
201042,1,10,20,0,17,0,2946.0,
201042,1,10,20,0,18,1,2935.0,2.212629789404898
201042,1,10,20,0,19,1,2832.0,1.3430467496732326
201042,1,10,20,0,20,1,2267.0,1.084146938417665
201043,2,10,20,0,1,1,1821.0,1.5174980672872147
201043,2,10,20,0,2,1,2122.0,1.0097079011462533
201043,2,10,20,0,3,1,2202.0,1.2777063316837465
201043,2,10,20,0,4,0,2537.0,
201043,2,10,20,0,5,1,4138.0,1.2322015093051653
201043,2,10,20,0,6,1,3462.0,1.2322015093051653
201043,2,10,20,0,7,0,2038.0,
201043,2,10,20,0,8,0,4234.0,
201043,2,10,20,0,9,1,4380.0,1.4512959833204342
201043,2,10,20,0,10,1,4700.0,1.2343931676665443
201043,2,10,20,0,11,1,3882.0,1.2777063316837465
201043,2,10,20,0,12,1,2292.0,1.0097079011462533
201043,2,10,20,0,13,1,3534.0,1.4512959833204342
201043,2,10,20,0,14,0,3709.0,
