num_vehicles,num_requests,encoding,n,mean_raw_violation_rate,std_raw_violation_rate,mean_cleanup_keep_fraction,std_cleanup_keep_fraction,mean_annealer_energy,std_annealer_energy,mean_percent_serviced,std_percent_serviced,mean_vmt,std_vmt,mean_avg_waiting_time,std_avg_waiting_time,mean_raw_selected_trips,std_raw_selected_trips,mean_raw_kept_trips,std_raw_kept_trips,mean_qubo_vars,std_qubo_vars,mean_qubo_couplers,std_qubo_couplers,mean_anneal_time_s,std_anneal_time_s
10,20,merge_tree,2,0.9813346228239845,0.0006838556878013577,0.0186653771760154,0.0006838556878013135,-146791584.7461538,5296678.57326772,90.0,14.142135623730951,5828.516846153845,249.71171377758773,620.6377759615384,343.29341125979244,482.5,17.67766952966369,9.0,0.0,3678.0,114.5512985522207,8108.0,257.3868683519033,7.275788850005483,0.16530466561627472
10,20,pairwise,2,0.0,0.0,1.0,0.0,-5755.733846153847,2604.5788749542603,67.5,17.67766952966369,3089.676076923077,881.2431397622336,362.95443444055945,257.7067958481696,7.5,2.1213203435596424,7.5,2.1213203435596424,975.0,28.284271247461902,173115.5,11383.712070322228,9.435999750014162,0.402680553439041
20,40,merge_tree,2,0.9902355686173638,0.0009816573911100106,0.0097644313826361,0.0009816573911098929,-406627052.99461544,18782208.195603624,86.25,1.7677669529663689,8640.019999999999,417.79871944739307,560.8390610213316,107.22221986283864,1283.0,56.568542494923804,12.5,0.7071067811865476,10038.5,490.0249993622774,22433.0,1086.116015902537,19.933290550019592,0.912911977631174
20,40,pairwise,2,0.0,0.0,1.0,0.0,-14065.843076923084,2097.420134355538,85.0,0.0,7290.712538461537,17.821810527365646,579.9460407239819,186.1720390961535,13.0,0.0,13.0,0.0,2560.5,127.9863273947651,795572.5,98677.45842136389,53.30747594998684,10.396081109057766
30,60,merge_tree,2,0.9917370307123832,0.00011043204263964995,0.0082629692876167,0.00011043204263982169,-674061256.5100003,15945983.758692252,83.33333333333334,4.714045207910321,11158.594923076922,789.5913311402492,436.8690713757396,55.52666929258698,2117.5,57.27564927611035,17.5,0.7071067811865476,16700.0,408.7077195258245,37438.0,916.4103884177656,36.78064899999299,1.9712775172154935
30,60,pairwise,2,0.0,0.0,1.0,0.0,-27293.126153846162,847.0247196214028,77.5,8.249579113843048,9094.634615384613,1224.3168815013478,491.4138574239713,57.39401389148294,16.5,2.1213203435596424,16.5,2.1213203435596424,4219.5,102.5304832720494,1751573.5,107485.18048782353,174.1479586000205,12.120584511441566
