city,num_vehicles,num_requests,seed,trial,cap_per_request,n_trips_pruned,tree_vars,pair_vars,tree_couplers,pair_couplers,tree_density,pair_density,tree_degree_max,pair_degree_max,couplers_pair_over_tree,aux_vars_tree
32_Phoenix_City,30,30,303045,4,30,465,1335,465,2610,13050,0.0029311187103077674,0.12096774193548387,8.0,116.0,5.0,870
32_Phoenix_City,30,30,303046,5,30,465,1335,465,2610,13050,0.0029311187103077674,0.12096774193548387,8.0,116.0,5.0,870
32_Phoenix_City,30,60,603042,1,30,1261,3723,1261,7386,54599,0.001066031146988029,0.0687272635726244,8.0,232.0,7.392228540481993,2462
32_Phoenix_City,30,60,603043,2,30,1219,3597,1219,7134,51167,0.001103069762436439,0.06892375914468642,8.0,232.0,7.172273619287917,2378
32_Phoenix_City,30,60,603044,3,30,1243,3669,1243,7278,53291,0.0010815958398239487,0.06903846726855577,8.0,232.0,7.322203902170926,2426
32_Phoenix_City,30,60,603045,4,30,1202,3546,1202,7032,49256,0.0011188036819332775,0.06824041529452024,8.0,224.0,7.004550625711035,2344
32_Phoenix_City,30,60,603046,5,30,1204,3552,1204,7044,49172,0.001116929376574547,0.06789780808223074,8.0,230.0,6.980692788188529,2348
32_Phoenix_City,40,40,404042,1,30,710,2090,710,4140,24707,0.0018964684002098025,0.09816245853115875,8.0,152.0,5.967874396135266,1380
32_Phoenix_City,40,40,404043,2,30,712,2096,712,4152,24853,0.0018910892892929367,0.09818818249340223,8.0,152.0,5.985789980732177,1384
32_Phoenix_City,40,40,404044,3,30,707,2081,707,4122,24507,0.0019045946845081877,0.09819650520292822,8.0,152.0,5.945414847161572,1374
32_Phoenix_City,40,40,404045,4,30,713,2099,713,4158,24959,0.0018884111595198767,0.09833036544431663,8.0,152.0,6.002645502645502,1386
32_Phoenix_City,40,40,404046,5,30,704,2072,704,4104,24305,0.0019127909036165916,0.09821948144316565,8.0,152.0,5.922270955165692,1368
32_Phoenix_City,40,80,804042,1,30,1784,5272,1784,10464,85580,0.0007531115511938805,0.05380914415921169,8.0,298.0,8.178516819571865,3488
32_Phoenix_City,40,80,804043,2,30,1678,4954,1678,9828,76342,0.0008010706372644073,0.054258590777702675,8.0,310.0,7.767806267806268,3276
32_Phoenix_City,40,80,804044,3,30,1724,5092,1724,10104,79762,0.0007795282187826492,0.05370361143691263,8.0,308.0,7.894101346001584,3368
32_Phoenix_City,40,80,804045,4,30,1682,4966,1682,9852,75063,0.0007991502336735725,0.053096049361932095,8.0,300.0,7.619062119366626,3284
32_Phoenix_City,40,80,804046,5,30,1669,4927,1669,9774,74180,0.0008054254725570676,0.05329229725865802,8.0,308.0,7.589523224882341,3258
32_Phoenix_City,50,50,505042,1,30,977,2881,977,5712,38236,0.001376836746500058,0.08019698978136483,8.0,192.0,6.693977591036415,1904
32_Phoenix_City,50,50,505043,2,30,961,2833,961,5616,37074,0.0013999653000053844,0.0803720083246618,8.0,192.0,6.601495726495727,1872
32_Phoenix_City,50,50,505044,3,30,961,2833,961,5616,37145,0.0013999653000053844,0.08052592785293097,8.0,192.0,6.614138176638177,1872
32_Phoenix_City,50,50,505045,4,30,959,2827,959,5604,36799,0.0014029111156673177,0.0801091080871036,8.0,192.0,6.56655960028551,1868
32_Phoenix_City,50,50,505046,5,30,987,2911,987,5772,39173,0.0013627654789688597,0.08050498262401072,8.0,192.0,6.786729036729037,1924
32_Phoenix_City,50,100,1005042,1,30,2226,6578,2226,13056,108757,0.0006035571874364505,0.043916936713205526,8.0,358.0,8.330039828431373,4352
32_Phoenix_City,50,100,1005043,2,30,2201,6503,2201,12906,108547,0.0006104652359063108,0.04483375325265375,8.0,358.0,8.410584224391755,4302
32_Phoenix_City,50,100,1005044,3,30,2221,6563,2221,13026,109745,0.0006049262620149915,0.04451569985113434,8.0,366.0,8.425072931060955,4342
32_Phoenix_City,50,100,1005045,4,30,2235,6605,2235,13110,112288,0.0006011084053845742,0.044978259519846825,8.0,378.0,8.565064836003051,4370
32_Phoenix_City,50,100,1005046,5,30,2224,6572,2224,13044,110465,0.000604104072997113,0.04468692252675592,8.0,358.0,8.468644587549832,4348
32_Phoenix_City,60,60,606042,1,30,1229,3627,1229,7194,51661,0.0010940195271992507,0.06846089217419421,8.0,226.0,7.181123158187378,2398
32_Phoenix_City,60,60,606043,2,30,1215,3585,1215,7110,50498,0.0011067319187089062,0.068471400193897,8.0,232.0,7.10239099859353,2370
32_Phoenix_City,60,60,606044,3,30,1195,3525,1195,6990,48653,0.0011254135774144468,0.06819733254837647,8.0,228.0,6.960371959942775,2330
32_Phoenix_City,60,60,606045,4,30,1230,3630,1230,7200,51622,0.001093122664304307,0.06829797508715527,8.0,232.0,7.169722222222222,2400
32_Phoenix_City,60,60,606046,5,30,1240,3660,1240,7260,53017,0.0010842342483613277,0.06901637637012159,8.0,232.0,7.302617079889807,2420
32_Phoenix_City,60,120,1206042,1,30,2813,8319,2813,16518,151896,0.0004774164917830344,0.03840531084342711,8.0,434.0,9.195786414820196,5506
32_Phoenix_City,60,120,1206043,2,30,2711,8013,2711,15906,138830,0.0004955128146417588,0.03779327354321127,8.0,412.0,8.72815289827738,5302
32_Phoenix_City,60,120,1206044,3,30,2762,8166,2762,16212,145413,0.00048629636812023145,0.0381367034003411,8.0,418.0,8.969467061435973,5404
32_Phoenix_City,60,120,1206045,4,30,2706,7998,2706,15876,138480,0.0004964352254751195,0.037837461217831804,8.0,424.0,8.72260015117158,5292
32_Phoenix_City,60,120,1206046,5,30,2676,7908,2676,15696,136418,0.0005020426187356702,0.03811463615662937,8.0,414.0,8.691258919469929,5232
32_Phoenix_City,70,70,707042,1,30,1469,4337,1469,8604,65389,0.0009150644884359842,0.06064386049194711,8.0,270.0,7.599837284983728,2868
32_Phoenix_City,70,70,707043,2,30,1492,4406,1492,8742,68118,0.0009008456634565495,0.06124144329785684,8.0,272.0,7.7920384351407,2914
32_Phoenix_City,70,70,707044,3,30,1469,4337,1469,8604,64878,0.0009150644884359842,0.06016994266614483,8.0,266.0,7.540446304044631,2868
32_Phoenix_City,70,70,707045,4,30,1501,4433,1501,8796,69038,0.0008954013262852205,0.061326226959804574,8.0,272.0,7.848794906775807,2932
32_Phoenix_City,70,70,707046,5,30,1452,4286,1452,8502,63118,0.0009258659302137539,0.05991688073011298,8.0,268.0,7.423900258762644,2834
32_Phoenix_City,70,140,1407042,1,30,3274,9682,3274,19224,180769,0.00041019319856404216,0.033738771955659504,8.0,448.0,9.403297960882231,6408
32_Phoenix_City,70,140,1407043,2,30,3203,9469,3203,18798,167251,0.00041935253735055127,0.03261523052931131,8.0,420.0,8.89727630599,6266
32_Phoenix_City,70,140,1407044,3,30,3271,9673,3271,19206,180234,0.0004105721099815069,0.03370066107775026,8.0,490.0,9.384254920337394,6402
32_Phoenix_City,70,140,1407045,4,30,3299,9757,3299,19374,182575,0.0004070625927126341,0.03356126624548189,8.0,470.0,9.423712191596985,6458
32_Phoenix_City,70,140,1407046,5,30,3239,9577,3239,19014,176130,0.00041465782028423883,0.033587334411275795,8.0,448.0,9.26317450299779,6338
32_Phoenix_City,80,80,808042,1,30,1710,5050,1710,10020,78142,0.0007859609490360801,0.053478146311751684,8.0,288.0,7.7986027944111775,3340
32_Phoenix_City,80,80,808043,2,30,1715,5065,1715,10050,78404,0.0007836513944316305,0.05334494524597637,8.0,306.0,7.80139303482587,3350
32_Phoenix_City,80,80,808044,3,30,1702,5026,1702,9972,77055,0.0007896846844171503,0.053231285115343085,8.0,296.0,7.727135980746089,3324
