lambda_val,M_val,mean_percent_serviced,std_percent_serviced,median_percent_serviced,min_percent_serviced,max_percent_serviced,n_runs,sem_percent_serviced,rank,tied_with_best
5000.0,10000.0,97.33333333333333,3.7161167647860314,100.0,90.0,100.0,15,0.9594972228385655,1,True
40000.0,200000.0,97.33333333333333,3.1997023671109215,100.0,90.0,100.0,15,0.8261595987094033,2,True
20000.0,100000.0,96.66666666666667,4.08248290463863,100.0,90.0,100.0,15,1.0540925533894598,3,True
2500.0,25000.0,96.66666666666667,3.6187343222787285,95.0,90.0,100.0,15,0.9343531843023132,4,True
20000.0,200000.0,96.66666666666667,3.0860669992418366,95.0,90.0,100.0,15,0.7968190728895953,5,True
10000.0,20000.0,96.33333333333333,5.1639777949432215,100.0,85.0,100.0,15,1.333333333333333,6,False
40000.0,80000.0,96.0,3.380617018914065,95.0,90.0,100.0,15,0.8728715609439691,7,False
5000.0,50000.0,95.66666666666667,4.577377082170637,95.0,85.0,100.0,15,1.1818736805705583,8,False
2500.0,12500.0,95.33333333333333,3.5186577527449843,95.0,90.0,100.0,15,0.9085135251589959,9,False
10000.0,100000.0,95.33333333333333,3.5186577527449843,95.0,90.0,100.0,15,0.9085135251589959,10,False
10000.0,50000.0,95.0,3.273268353539886,95.0,90.0,100.0,15,0.8451542547285167,11,False
40000.0,400000.0,95.0,3.7796447300922726,95.0,90.0,100.0,15,0.9759000729485332,12,False
2500.0,5000.0,94.66666666666667,3.994043183589902,95.0,90.0,100.0,15,1.0312575156051296,13,False
5000.0,25000.0,94.66666666666667,3.5186577527449843,95.0,90.0,100.0,15,0.9085135251589959,14,False
20000.0,40000.0,94.33333333333333,3.7161167647860323,95.0,90.0,100.0,15,0.9594972228385658,15,False
