lambda_val,M_val,mean_percent_serviced,std_percent_serviced,median_percent_serviced,min_percent_serviced,max_percent_serviced,n_runs,sem_percent_serviced,rank,tied_with_best
20000.0,40000.0,95.55555555555557,2.9991180361414647,96.66666666666669,90.0,100.0,15,0.7743689471524124,1,True
2500.0,12500.0,95.33333333333333,3.034196632776007,96.66666666666669,90.0,100.0,15,0.7834262018573397,2,True
2500.0,5000.0,95.11111111111111,2.4774111765240336,96.66666666666669,90.0,100.0,15,0.6396648152257137,3,True
20000.0,200000.0,95.11111111111111,3.0515847214470972,96.66666666666669,86.66666666666667,100.0,15,0.7879157870470405,4,True
40000.0,80000.0,95.11111111111111,2.1331349114072977,96.66666666666669,90.0,96.66666666666669,15,0.5507730658062732,5,True
5000.0,25000.0,94.8888888888889,2.4774111765240345,96.66666666666669,90.0,96.66666666666669,15,0.639664815225714,6,True
2500.0,25000.0,94.66666666666667,2.4559613253767028,93.33333333333331,90.0,100.0,15,0.634126487474231,7,False
10000.0,50000.0,94.66666666666667,2.1081851067789352,93.33333333333331,90.0,96.66666666666669,15,0.5443310539518214,8,False
10000.0,20000.0,94.44444444444443,2.7216552697590943,93.33333333333331,90.0,100.0,15,0.7027283689263084,9,False
20000.0,100000.0,94.44444444444443,2.4124895481858286,93.33333333333331,90.0,100.0,15,0.6229021228682113,10,False
5000.0,10000.0,94.22222222222221,1.9787227990155578,93.33333333333331,90.0,96.66666666666669,15,0.510904029823212,11,False
40000.0,200000.0,94.22222222222221,1.9787227990155594,93.33333333333331,90.0,96.66666666666669,15,0.5109040298232125,12,False
5000.0,50000.0,94.0,2.2537446792760556,93.33333333333331,90.0,96.66666666666669,15,0.5819143739626492,13,False
10000.0,100000.0,94.0,2.58198889747162,93.33333333333331,90.0,96.66666666666669,15,0.666666666666669,14,False
40000.0,400000.0,93.55555555555556,2.6626954557266016,93.33333333333331,86.66666666666667,96.66666666666669,15,0.6875050104034197,15,False
