lambda_val,M_val,mean_percent_serviced,std_percent_serviced,median_percent_serviced,min_percent_serviced,max_percent_serviced,n_runs,sem_percent_serviced,rank,tied_with_best
5000.0,50000.0,90.66666666666667,7.286647932708021,95.0,80.0,100.0,15,1.881404406203658,1,True
2500.0,25000.0,90.33333333333333,9.347777938149383,95.0,70.0,100.0,15,2.4135858852331777,2,True
40000.0,400000.0,89.66666666666667,8.755950357709134,95.0,70.0,100.0,15,2.260776661041757,3,True
5000.0,25000.0,89.66666666666667,7.187952884282608,90.0,75.0,100.0,15,1.855921454276674,4,True
20000.0,40000.0,89.66666666666667,5.81459575632939,90.0,80.0,100.0,15,1.501322168612803,5,True
40000.0,80000.0,89.33333333333333,9.611501047232553,95.0,70.0,100.0,15,2.4816788991991214,6,True
10000.0,50000.0,89.33333333333333,7.988086367179805,95.0,70.0,95.0,15,2.062515031210259,7,True
5000.0,10000.0,88.66666666666667,7.187952884282607,90.0,80.0,100.0,15,1.8559214542766738,8,False
2500.0,5000.0,88.33333333333333,8.591246929842242,90.0,75.0,100.0,15,2.2182504188289736,9,False
40000.0,200000.0,88.33333333333333,8.380817098475257,90.0,75.0,100.0,15,2.1639176700003357,10,False
20000.0,200000.0,87.33333333333333,10.668154658117952,90.0,70.0,100.0,15,2.7545056883770607,11,False
2500.0,12500.0,87.33333333333333,7.03731550548997,90.0,75.0,95.0,15,1.8170270503179922,12,False
20000.0,100000.0,87.0,9.783367810436529,90.0,70.0,100.0,15,2.5260547066428263,13,False
10000.0,100000.0,86.66666666666667,10.293317295817756,90.0,70.0,100.0,15,2.6577230975953956,14,False
10000.0,20000.0,86.33333333333333,9.536895771286428,90.0,65.0,100.0,15,2.4624158997805514,15,False
