lambda_val,M_val,mean_percent_serviced,std_percent_serviced,median_percent_serviced,min_percent_serviced,max_percent_serviced,n_runs,sem_percent_serviced,rank,tied_with_best
10000.0,50000.0,97.06666666666666,1.8309508328682527,96.0,96.0,100.0,15,0.4727494722282228,1,True
40000.0,200000.0,96.8,2.2424476423255526,96.0,92.0,100.0,15,0.5789974915645968,2,True
10000.0,100000.0,96.53333333333333,2.559761893688737,96.0,92.0,100.0,15,0.6609276789675226,3,False
2500.0,5000.0,96.26666666666667,1.8309508328682527,96.0,92.0,100.0,15,0.4727494722282228,4,False
20000.0,40000.0,96.26666666666667,1.830950832868253,96.0,92.0,100.0,15,0.4727494722282229,5,False
5000.0,50000.0,96.0,2.1380899352993974,96.0,92.0,100.0,15,0.5520524474738839,6,False
10000.0,20000.0,96.0,2.1380899352993947,96.0,92.0,100.0,15,0.5520524474738833,7,False
20000.0,100000.0,96.0,1.51185789203691,96.0,92.0,100.0,15,0.39036002917941354,8,False
5000.0,10000.0,96.0,0.0,96.0,96.0,96.0,15,0.0,9,False
40000.0,80000.0,95.73333333333333,1.8309508328682536,96.0,92.0,100.0,15,0.472749472228223,10,False
5000.0,25000.0,95.46666666666667,2.0655911179772874,96.0,92.0,100.0,15,0.5333333333333329,11,False
40000.0,400000.0,95.46666666666667,2.0655911179772883,96.0,92.0,100.0,15,0.5333333333333331,12,False
20000.0,200000.0,95.46666666666667,1.4074631010979917,96.0,92.0,96.0,15,0.36340541006359783,13,False
2500.0,25000.0,94.4,3.3123146848433014,96.0,88.0,100.0,15,0.8552359741197583,14,False
2500.0,12500.0,94.4,2.5298221281347053,96.0,88.0,96.0,15,0.6531972647421813,15,False
