lambda_val,M_val,mean_percent_serviced,std_percent_serviced,median_percent_serviced,min_percent_serviced,max_percent_serviced,n_runs,sem_percent_serviced,rank,tied_with_best
2500.0,5000.0,100.0,0.0,100.0,100.0,100.0,15,0.0,1,True
5000.0,10000.0,100.0,0.0,100.0,100.0,100.0,15,0.0,2,True
10000.0,20000.0,100.0,0.0,100.0,100.0,100.0,15,0.0,3,True
20000.0,40000.0,100.0,0.0,100.0,100.0,100.0,15,0.0,4,True
40000.0,80000.0,100.0,0.0,100.0,100.0,100.0,15,0.0,5,True
2500.0,12500.0,99.33333333333333,2.5819888974716108,100.0,90.0,100.0,15,0.6666666666666665,6,False
5000.0,25000.0,99.33333333333333,2.581988897471612,100.0,90.0,100.0,15,0.6666666666666669,7,False
10000.0,50000.0,99.33333333333333,2.5819888974716103,100.0,90.0,100.0,15,0.6666666666666664,8,False
40000.0,200000.0,99.33333333333333,2.581988897471612,100.0,90.0,100.0,15,0.6666666666666669,9,False
20000.0,200000.0,98.66666666666667,3.5186577527449834,100.0,90.0,100.0,15,0.9085135251589956,10,False
40000.0,400000.0,98.66666666666667,3.5186577527449825,100.0,90.0,100.0,15,0.9085135251589954,11,False
20000.0,100000.0,98.0,5.60611910581388,100.0,80.0,100.0,15,1.4474937289114915,12,False
2500.0,25000.0,97.33333333333333,5.936168397046638,100.0,80.0,100.0,15,1.532712089469627,13,False
10000.0,100000.0,97.33333333333333,4.577377082170634,100.0,90.0,100.0,15,1.1818736805705576,14,False
5000.0,50000.0,96.66666666666667,4.879500364742666,100.0,90.0,100.0,15,1.259881576697424,15,False
