lambda_val,M_val,mean_percent_serviced,std_percent_serviced,median_percent_serviced,min_percent_serviced,max_percent_serviced,n_runs,sem_percent_serviced,rank,tied_with_best
5000.0,10000.0,81.33333333333333,6.935073041809877,85.0,70.0,90.0,15,1.7906281597107778,1,True
20000.0,40000.0,80.33333333333333,7.187952884282608,80.0,70.0,100.0,15,1.855921454276674,2,True
10000.0,20000.0,80.0,7.5592894601845435,80.0,70.0,95.0,15,1.951800145897066,3,True
10000.0,50000.0,79.66666666666667,6.935073041809876,80.0,70.0,90.0,15,1.7906281597107774,4,True
40000.0,200000.0,79.33333333333333,6.229729031789725,80.0,70.0,95.0,15,1.6085091194337642,5,False
2500.0,5000.0,79.0,6.035608621222173,80.0,65.0,85.0,15,1.5583874449479589,6,False
2500.0,25000.0,79.0,6.600865744084524,80.0,60.0,85.0,15,1.7043362064926928,7,False
20000.0,200000.0,78.66666666666667,7.18795288428261,80.0,70.0,90.0,15,1.8559214542766744,8,False
40000.0,80000.0,78.0,7.270291799999699,75.0,70.0,95.0,15,1.8771812708978117,9,False
20000.0,100000.0,77.66666666666667,8.837151016885368,80.0,65.0,95.0,15,2.281742581087798,10,False
40000.0,400000.0,77.66666666666667,8.208590157935307,75.0,65.0,90.0,15,2.11944886516837,11,False
2500.0,12500.0,77.0,8.409178658720824,75.0,60.0,95.0,15,2.1712405933672385,12,False
10000.0,100000.0,77.0,7.020378500174638,75.0,60.0,95.0,15,1.8126539343499315,13,False
5000.0,25000.0,75.66666666666667,8.423323628614833,75.0,60.0,90.0,15,2.1748928088893784,14,False
5000.0,50000.0,75.0,5.976143046671968,75.0,65.0,85.0,15,1.543033499620919,15,False
