num_requests,num_vehicles,lambda_val,M_val,mean_percent_serviced,sem_percent_serviced,n_runs,rank,tied_with_best
5,5,2500.0,5000.0,83.80952380952381,4.4974167440447985,21,1,True
5,5,2500.0,12500.0,83.80952380952381,4.4974167440447985,21,2,True
5,5,2500.0,25000.0,83.80952380952381,4.4974167440447985,21,3,True
5,5,5000.0,10000.0,83.80952380952381,4.4974167440447985,21,4,True
5,5,5000.0,25000.0,83.80952380952381,4.4974167440447985,21,5,True
5,5,5000.0,50000.0,83.80952380952381,4.4974167440447985,21,6,True
5,5,10000.0,20000.0,83.80952380952381,4.4974167440447985,21,7,True
5,5,10000.0,50000.0,83.80952380952381,4.4974167440447985,21,8,True
5,5,10000.0,100000.0,83.80952380952381,4.4974167440447985,21,9,True
5,5,20000.0,40000.0,83.80952380952381,4.4974167440447985,21,10,True
5,5,20000.0,100000.0,83.80952380952381,4.4974167440447985,21,11,True
5,5,20000.0,200000.0,83.80952380952381,4.4974167440447985,21,12,True
5,5,40000.0,80000.0,83.80952380952381,4.4974167440447985,21,13,True
5,5,40000.0,200000.0,83.80952380952381,4.4974167440447985,21,14,True
5,5,40000.0,400000.0,83.80952380952381,4.4974167440447985,21,15,True
10,5,40000.0,200000.0,71.11111111111111,2.6677557688834708,18,1,True
10,5,10000.0,50000.0,70.0,2.1389631597324943,18,2,True
10,5,2500.0,5000.0,69.52380952380952,2.0090498199741904,21,3,True
10,5,2500.0,12500.0,69.5,2.111995813392981,20,4,True
10,5,5000.0,10000.0,69.44444444444444,2.3531681081561704,18,5,True
10,5,5000.0,25000.0,69.44444444444444,2.3531681081561704,18,6,True
10,5,10000.0,20000.0,69.44444444444444,2.3531681081561704,18,7,True
10,5,20000.0,40000.0,69.44444444444444,2.3531681081561704,18,8,True
10,5,20000.0,100000.0,69.44444444444444,2.4881709982404976,18,9,True
10,5,40000.0,80000.0,69.44444444444444,2.3531681081561704,18,10,True
10,5,40000.0,400000.0,67.77777777777777,2.976548375617177,18,11,False
10,5,5000.0,50000.0,67.77777777777777,2.6266053983542643,18,12,False
10,5,20000.0,200000.0,66.66666666666667,2.681332221799479,18,13,False
10,5,2500.0,25000.0,65.0,2.588309565185115,18,14,False
10,5,10000.0,100000.0,64.44444444444444,2.5847999912791093,18,15,False
10,10,2500.0,5000.0,100.0,0.0,15,1,True
10,10,5000.0,10000.0,100.0,0.0,15,2,True
