lambda_val,M_val,mean_percent_serviced,std_percent_serviced,median_percent_serviced,min_percent_serviced,max_percent_serviced,n_runs,sem_percent_serviced,rank,tied_with_best
2500.0,5000.0,94.44444444444444,5.295500735749928,96.66666666666669,86.66666666666667,100.0,15,1.3672924106259063,1,True
20000.0,100000.0,94.44444444444444,5.998236072282916,96.66666666666669,83.33333333333333,100.0,15,1.5487378943048213,2,True
5000.0,10000.0,93.77777777777779,6.885303726590967,96.66666666666669,80.0,100.0,15,1.7777777777777788,3,True
2500.0,25000.0,93.55555555555557,7.813974728536119,96.66666666666669,80.0,100.0,15,2.0175595994204008,4,True
5000.0,25000.0,93.55555555555556,5.55872925221862,93.33333333333331,83.33333333333333,100.0,15,1.4352577213279147,5,True
20000.0,200000.0,93.11111111111111,7.711737772441403,96.66666666666669,76.66666666666667,100.0,15,1.9911621308656156,6,True
5000.0,50000.0,92.66666666666667,10.327955589886448,100.0,73.33333333333333,100.0,15,2.6666666666666674,7,False
20000.0,40000.0,92.44444444444444,7.608127094337868,96.66666666666669,80.0,100.0,15,1.9644099688133323,8,False
10000.0,20000.0,92.22222222222223,7.83426201857338,96.66666666666669,76.66666666666667,100.0,15,2.022797755184,9,False
2500.0,12500.0,91.55555555555557,8.80716399110052,96.66666666666669,76.66666666666667,100.0,15,2.2739999643233304,10,False
40000.0,400000.0,91.55555555555557,8.4390124550762,96.66666666666669,76.66666666666667,100.0,15,2.1789436464631393,11,False
40000.0,80000.0,91.55555555555556,7.439349120986015,93.33333333333331,73.33333333333333,100.0,15,1.920831683480108,12,False
10000.0,100000.0,91.33333333333334,10.219806477837263,96.66666666666669,73.33333333333333,100.0,15,2.6387426860084267,13,False
10000.0,50000.0,91.33333333333333,7.745966692414837,93.33333333333331,76.66666666666667,100.0,15,2.000000000000001,14,False
40000.0,200000.0,89.33333333333333,9.856107606091628,93.33333333333331,73.33333333333333,100.0,15,2.5448360411214086,15,False
