lambda_val,M_val,mean_percent_serviced,std_percent_serviced,median_percent_serviced,min_percent_serviced,max_percent_serviced,n_runs,sem_percent_serviced,rank,tied_with_best
2500.0,5000.0,83.80952380952381,20.609752661347123,80.0,40.0,100.0,21,4.4974167440447985,1,True
2500.0,12500.0,83.80952380952381,20.609752661347123,80.0,40.0,100.0,21,4.4974167440447985,2,True
2500.0,25000.0,83.80952380952381,20.609752661347123,80.0,40.0,100.0,21,4.4974167440447985,3,True
5000.0,10000.0,83.80952380952381,20.609752661347123,80.0,40.0,100.0,21,4.4974167440447985,4,True
5000.0,25000.0,83.80952380952381,20.609752661347123,80.0,40.0,100.0,21,4.4974167440447985,5,True
5000.0,50000.0,83.80952380952381,20.609752661347123,80.0,40.0,100.0,21,4.4974167440447985,6,True
10000.0,20000.0,83.80952380952381,20.609752661347123,80.0,40.0,100.0,21,4.4974167440447985,7,True
10000.0,50000.0,83.80952380952381,20.609752661347123,80.0,40.0,100.0,21,4.4974167440447985,8,True
10000.0,100000.0,83.80952380952381,20.609752661347123,80.0,40.0,100.0,21,4.4974167440447985,9,True
20000.0,40000.0,83.80952380952381,20.609752661347123,80.0,40.0,100.0,21,4.4974167440447985,10,True
20000.0,100000.0,83.80952380952381,20.609752661347123,80.0,40.0,100.0,21,4.4974167440447985,11,True
20000.0,200000.0,83.80952380952381,20.609752661347123,80.0,40.0,100.0,21,4.4974167440447985,12,True
40000.0,80000.0,83.80952380952381,20.609752661347123,80.0,40.0,100.0,21,4.4974167440447985,13,True
40000.0,200000.0,83.80952380952381,20.609752661347123,80.0,40.0,100.0,21,4.4974167440447985,14,True
40000.0,400000.0,83.80952380952381,20.609752661347123,80.0,40.0,100.0,21,4.4974167440447985,15,True
