lambda_val,M_val,mean_percent_serviced,std_percent_serviced,median_percent_serviced,min_percent_serviced,max_percent_serviced,n_runs,sem_percent_serviced,rank,tied_with_best
10000.0,100000.0,95.2,1.6561573424216502,96.0,92.0,98.0,15,0.427617987059879,1,True
10000.0,20000.0,94.66666666666667,2.35027860557201,96.0,90.0,98.0,15,0.606839326555199,2,False
2500.0,25000.0,94.66666666666667,1.7994708216848765,94.0,92.0,98.0,15,0.46462136829144685,3,False
2500.0,12500.0,94.53333333333333,2.1995670569671746,96.0,92.0,98.0,15,0.5679257720333551,4,False
20000.0,100000.0,94.4,1.5491933384829688,94.0,92.0,98.0,15,0.4000000000000005,5,False
20000.0,200000.0,94.4,2.0283702113484376,94.0,92.0,98.0,15,0.5237229365663811,6,False
10000.0,50000.0,94.4,1.549193338482966,94.0,92.0,96.0,15,0.39999999999999974,7,False
5000.0,50000.0,94.13333333333334,2.774029216723951,94.0,88.0,98.0,15,0.7162512638843112,8,False
40000.0,400000.0,94.13333333333334,1.5976172734359624,94.0,90.0,96.0,15,0.4125030062420522,9,False
40000.0,80000.0,93.86666666666666,2.325838302531756,94.0,90.0,98.0,15,0.6005288674451212,10,False
40000.0,200000.0,93.86666666666666,2.1995670569671755,94.0,90.0,96.0,15,0.5679257720333554,11,False
20000.0,40000.0,93.73333333333333,1.6676187756655823,94.0,90.0,96.0,15,0.4305773163983735,12,False
5000.0,10000.0,93.6,1.88224789622864,94.0,90.0,96.0,15,0.48599431703516455,13,False
2500.0,5000.0,93.46666666666667,2.445598573141631,94.0,90.0,98.0,15,0.6314508363524105,14,False
5000.0,25000.0,92.66666666666667,1.7994708216848745,92.0,90.0,96.0,15,0.46462136829144635,15,False
